FS_Method,K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
XGB_Importance,16,DT,0.9941 ± 0.0003,0.8897 ± 0.0015,0.8983 ± 0.0003,0.8904 ± 0.0008,0.8963 ± 0.0006,0.0006 ± 0.0000,0.1017 ± 0.0003,0.1073 ± 0.0053,0.0001 ± 0.0000
XGB_Importance,16,RF,0.9939 ± 0.0002,0.8829 ± 0.0088,0.8976 ± 0.0005,0.8873 ± 0.0054,0.8993 ± 0.0002,0.0006 ± 0.0000,0.1024 ± 0.0005,1.3171 ± 0.0099,0.0028 ± 0.0000
XGB_Importance,16,XGB,0.8882 ± 0.0967,0.8329 ± 0.0512,0.8561 ± 0.0385,0.8031 ± 0.0797,0.8988 ± 0.0004,0.0113 ± 0.0098,0.1439 ± 0.0385,1.8812 ± 0.0270,0.0010 ± 0.0000
XGB_Importance,16,LGBM,0.9943 ± 0.0003,0.8899 ± 0.0016,0.8985 ± 0.0002,0.8905 ± 0.0008,0.8990 ± 0.0003,0.0006 ± 0.0000,0.1015 ± 0.0002,1.2554 ± 0.0338,0.0028 ± 0.0000
XGB_Importance,16,KNN,0.9630 ± 0.0000,0.8421 ± 0.0060,0.7766 ± 0.0002,0.7555 ± 0.0004,0.7269 ± 0.0002,0.0039 ± 0.0001,0.2234 ± 0.0002,0.0077 ± 0.0026,0.0595 ± 0.0005
XGB_Importance,16,MLP,0.9937 ± 0.0004,0.8765 ± 0.0206,0.8963 ± 0.0017,0.8807 ± 0.0109,0.8968 ± 0.0007,0.0007 ± 0.0000,0.1037 ± 0.0017,28.6911 ± 12.6215,0.0007 ± 0.0003
SHAP,4,DT,0.9476 ± 0.0007,0.7773 ± 0.0017,0.8330 ± 0.0006,0.7793 ± 0.0008,0.7991 ± 0.0011,0.0055 ± 0.0001,0.1670 ± 0.0006,0.0510 ± 0.0017,0.0001 ± 0.0000
SHAP,4,RF,0.9689 ± 0.0004,0.7943 ± 0.0066,0.8299 ± 0.0009,0.7944 ± 0.0023,0.8211 ± 0.0001,0.0034 ± 0.0000,0.1701 ± 0.0009,1.2479 ± 0.0359,0.0027 ± 0.0001
SHAP,4,XGB,0.9555 ± 0.0076,0.7942 ± 0.0049,0.8289 ± 0.0068,0.7862 ± 0.0059,0.8200 ± 0.0022,0.0047 ± 0.0008,0.1711 ± 0.0068,1.8281 ± 0.0617,0.0012 ± 0.0000
SHAP,4,LGBM,0.6008 ± 0.4039,0.4297 ± 0.3355,0.4638 ± 0.3400,0.3814 ± 0.3764,0.4106 ± 0.3776,0.0483 ± 0.0428,0.5362 ± 0.3400,1.1228 ± 0.0845,0.0023 ± 0.0011
SHAP,4,KNN,0.7473 ± 0.0148,0.6833 ± 0.0370,0.6436 ± 0.0091,0.5547 ± 0.0104,0.5396 ± 0.0171,0.0257 ± 0.0015,0.3564 ± 0.0091,0.0873 ± 0.0048,0.0726 ± 0.0067
SHAP,4,MLP,0.9472 ± 0.0070,0.7060 ± 0.0099,0.7496 ± 0.0164,0.7017 ± 0.0031,0.7301 ± 0.0303,0.0072 ± 0.0014,0.2504 ± 0.0164,60.7372 ± 19.7305,0.0019 ± 0.0003
SHAP,8,DT,0.9941 ± 0.0001,0.8854 ± 0.0032,0.8971 ± 0.0004,0.8878 ± 0.0012,0.8940 ± 0.0005,0.0006 ± 0.0000,0.1029 ± 0.0004,0.0575 ± 0.0022,0.0001 ± 0.0000
SHAP,8,RF,0.9941 ± 0.0004,0.8745 ± 0.0041,0.8961 ± 0.0004,0.8812 ± 0.0018,0.8978 ± 0.0007,0.0006 ± 0.0000,0.1039 ± 0.0004,1.2382 ± 0.0065,0.0027 ± 0.0000
SHAP,8,XGB,0.9388 ± 0.0351,0.7958 ± 0.0072,0.8750 ± 0.0143,0.7990 ± 0.0196,0.8979 ± 0.0005,0.0062 ± 0.0035,0.1250 ± 0.0143,1.8491 ± 0.0129,0.0011 ± 0.0000
